RowID,UserID,TweetID,Text
1,19234329,703020840271491072,RT @fangirlJeanne: I hope not all white folks in YA lit are this ignorant and condescending to kids of color. My kids deserve better. https?
2,19234329,703021041078005760,@JustineLavaworm @fangirlJeanne Instead of that baloney
3,19234329,703021444238692352,@colbysharp It'd be terrific if you'd teach your kids how to do some analysis via the #StepUpScholastic campaign. https://t.co/s6tMMipckj
4,19234329,703021707959754752,@colbysharp I bet they'd really enjoy that project. And writing letters
5,19234329,703022451286867968,@colbysharp Did you see the work @alliejanebruce did with students?  Here's one of her projects: https://t.co/M8Etb01cig
6,19234329,703022625715388416,@colbysharp And here's the one @alliejanebruce did on gender: https://t.co/1vkjQ3yFd0
7,19234329,703031176483594240,@colbysharp Generally when Native/POC call for change
8,19234329,703031323313573888,@colbysharp Surely you've seen that over the last few years in the diversity conversations. People are mean and sarcastic.
9,19234329,703034924572368896,@colbysharp So
10,19234329,703041323612278785,RT @neighbors73: This is so important. Read it all.  https://t.co/nUQ2rALxXh
11,19234329,703044920387325952,RT @pronounced_ing: For those saying "Trump didn't make the calls! He's not responsible!" I offer this. https://t.co/i67kxs0uxL
12,19234329,703198302024704001,RT @fangirlJeanne: For more information on why several people were upset about that "step up" tweet. See #StepUpScholastic https://t.co/Dqk?
13,19234329,703198336145367040,RT @Early_Educatrix: American Indians in Children's Literature (AICL): #StepUpScholastic - What I Don't See in Feb 2016 Flyers PreK - 2nd h?
14,19234329,703199442388676609,RT @Early_Educatrix: Did you know letters go DIRECTLY to Scholastic? Let 'em know: we need to see our kids
15,19234329,703199986578640896,RT @CBC_Aboriginal: MMIW roundtable: Victims
16,19234329,703202118874865664,?? micdotcom: black-ish made television history last night Last night
17,19234329,703202169718181888,"You Will Be Tokenized": Speaking Out about the State of Diversity in Publishing | Brooklyn Magazine -... https://t.co/xcW3FWt5eD
18,19234329,703205382362103810,RT @HaidaPrincess: Doctor gives #FirstNations child 'Greetings
19,19234329,703236851159711744,RT @CynLeitichSmith: "Out of 459 books
20,19234329,703241966625157121,RT @riverbloodcorn: River
https://t.co/2r3LbP7mIS,2016-02-26 15:35:25,1,False
21,19234329,703243775548780544,RT @Niigaanwewidam: Why indigenous boys and men wear braids https://t.co/10N6puUstj
22,19234329,703249097558519808,Debbie--have you seen... SOME KIND OF COURAGE by Dan Gemeinhart https://t.co/uLvGD60n2w
23,19234329,703249106542546944,Debbie--have you seen... SOME KIND OF COURAGE by Dan Gemeinhart https://t.co/qsIz06wN7J
24,19234329,703253194630160385,@debraj112 Doable! With the #StepUpScholastic campaign page.  https://t.co/MYVJjpHYJK Yesterday
25,19234329,703253435114786816,@debraj112 ...catalogs. Zero Native writers. https://t.co/RTaqAo4G5B You could select a demographic and do some counts
26,19234329,703253599644753920,@debraj112 Some letters to Scholastic already submitted: https://t.co/s6tMMi7BsL
27,19234329,703254379202273281,@CyborgN8VMari Might you be interested in the #StepUpScholastic campaign? I found 459 bks
28,19234329,703259313062678533,RT @CyborgN8VMari: Hey hi @Scholastic! Have you noticed how your Feb catalog has 0 books by Native/Indigenous authors? https://t.co/grU765m?
29,19234329,703259512409563136,RT @hersheybrown818: Tell @Scholastic their catalogs should reflect the diversity in our communities https://t.co/QfheebVRD8 #StepUpScholas?
30,19234329,703306616477773825,@DanicaLanger Terrific! I hope hope hope she's Native and wants to become a writer.
31,19234329,703320185588084736,@DanicaLanger Ok. In a DM I'll give you my email address. Ask her to write to me.
32,19234329,703323095407452160,Sharing this again: ?There is no DNA test to prove you?re Native American? https://t.co/G3eB3GbaXb Pls RT.
33,19234329,703326660280582144,Debbie--have you seen... RED MOON RISING by K. A. Holt https://t.co/G74u4UiRcB
34,19234329,703326674176204800,Debbie--have you seen... RED MOON RISING by K. A. Holt https://t.co/CYqt1hEhpO
35,19234329,703327820362162176,@jbakernyc Well
36,19234329,703328403823456256,@jbakernyc Oh yeah. I know what you mean. Funny story: I bought some yummy ones a few years ago for a road trip to NM. I put them in...
37,19234329,703328638813523968,@jbakernyc the trunk of the car. MISTAKE. Next evening
38,19234329,703328855977828352,@jbakernyc But not all melted. Some ears
39,19234329,703574930714140673,RT @GwitchinKris: And exactly like how Canadians know how bad the child welfare system is right now. https://t.co/WxwAPXMwKZ
40,19234329,703599925733498880,Want to show your kids how to be an activist abt bks they read? Start here: https://t.co/MYVJjpHYJK #StepUpScholastic
41,19234329,703600255963676672,@laurenspieller MC in RAIN IS NOT MY INDIAN NAME is a photographer. @nebrinkley
42,19234329,703601388513845248,RT @djolder: Christie is Wormtail tho
43,19234329,703601410143870977,RT @djolder: When you're trying to convince He Who Must Not Be Named you were his loyal servant all along https://t.co/qhSS46bLSP
44,19234329,703601577215574016,RT @annamarch: We Need Diverse Books Announces the Opening of Applications for the 2016 WNDB Internship Grants... https://t.co/d1cxJBePmT
45,19234329,703619546134028288,@LPyneLib @hclib Terrific! Guessing you're looking at this page? https://t.co/ZnSfceuFzt
46,19234329,703619966772375552,@LPyneLib I'd start w JINGLE DANCER
47,19234329,703638784039108608,Imagine you're Alaska Native
48,19234329,703639231248338944,@debreese The book? SWEET HOME ALASKA by Carole Estby Dagg. Not an old book... brand new. Pub year 2016.
49,19234329,703646350991351808,@watersteph Thanks for RT'ing Stephanie. The flood of awful books just keeps on coming.
50,19234329,703903219060178945,Debbie--have you seen... TRU &amp; NELLE by G. Neri? https://t.co/IwRLfZqAg4
51,19234329,703903235354943488,Debbie--have you seen... TRU &amp; NELLE by G. Neri? https://t.co/RA8CkI7TPK
52,19234329,703958520648044544,@CynLeitichSmith
53,19234329,703959287236841472,RT @mmfa: Jake Tapper repeatedly presses Donald Trump to condemn the Ku Klux Klan
54,19234329,703981354309046273,RT @LeslieMac: ICYMI I launched #StepUpScholastic with @teachingchange &amp; @debreese this wk! Our specific response to the issue of represent?
55,19234329,703982094440112128,RT @shgmclicious: Tell @Scholastic their catalogs should reflect the diversity in our communities https://t.co/ejI24zdbFb #StepUpScholastic
56,19234329,703982126480408581,RT @Tolerance_org: Does the Scholastic catalog represent your Ss? #StepUpScholastic https://t.co/H2ot2EyltG https://t.co/qMh3IZCce8
57,19234329,703986537990647808,@JessLif I think so. If Scholastic posts new links for March catalog
58,19234329,703987165240369152,"We are here to stay!" sing the "colonists" who go to Alaska in the 1930s. My guess: author of this bk didn't imagine Native readers.
59,19234329,703987335478812672,@debreese I (a Native reader) cringe when I imagine white "colonists" gleefully singing "We are here to stay."
60,19234329,703987475413385220,@debreese And
61,19234329,703987706943164417,@debreese And I cringe some more when I read joyous references to WIZARD OF OZ. Its author wrote abt exterminating Native ppl.
62,19234329,703989106347524097,@JessLif I think it teaches them a terrific skill: to be critical of what they are offered
63,19234329,703993214576017410,@MsGoldmanQAE Thank you for retweeting this! I hope you can submit a letter.
64,19234329,703994552361869313,Dear Writers: You love Wizard of Oz; you include it in your bk. I see it/cringe bc Baum wanted to exterminate Native ppl. Pls rethink that.
65,19234329,703996552721915907,@GabrielleSaraP https://t.co/EoWocaWOaP
66,19234329,703996739074846720,Dear Writers/Editors who don't know Baum wanted to exterminate Native ppls
67,19234329,703997221855961088,Dear Writers/Editors who don't know Baum wanted to exterminate Native ppls
68,19234329,704010989868617733,RT @citymousedc: Customer came in today for The Birchbark House
69,19234329,704059199240728576,Debbie--have you seen.... Danna Smith's ARCTIC WHITE https://t.co/JftRgjZXAM
70,19234329,704060348773617665,@planet_alaska &amp; @ayatlin
71,19234329,704060663530913793,@planet_alaska @ayatlin ...went to Palmer Alaska. Characters sing "We are here to stay." No Native presence at all in bk.
72,19234329,704060928413868032,@planet_alaska @ayatlin It is like no Alaska Natives there at all
73,19234329,704062390099382272,RT @kerrywashington: WOW.  https://t.co/2G3j1ePYZa
74,19234329,704062435041394690,RT @LeslieMac: ?? ?? #inquiringminds want to know. Shame on you @MSNBC  https://t.co/pROUnl8Tzx
75,19234329,704062609931280385,RT @teachingchange: Join us and spread the word. #StepUpScholastic for ALL children https://t.co/f1yfBVLEv3
76,19234329,704063655239925760,Mon. 2/29/16: Join @LeslieMac &amp; @teachingchange for #StepUpScholastic chat @ 7PM EST. https://t.co/iGsMRSuTkm https://t.co/DOu0zU5mlb
77,19234329,704069996113240064,See letter to #Scholastic
78,19234329,704070741067751426,The #OscarsSoWhite &amp; #ScholasticSoWhite
79,19234329,704087968814858240,@planet_alaska
